"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"45","Slovakia","Central and Eastern Europe",45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,19.75396564,48.66923253
"46","Japan","Eastern Asia",46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,137.6706606,37.51848822
"47","South Korea","Eastern Asia",47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,127.5142465,36.56344139
"48","Ecuador","Latin America and Caribbean",48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,-78.55693916,-1.22919037
"49","Bahrain","Middle East and Northern Africa",49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,50.65932354,25.90740996
"50","Italy","Western Europe",50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,12.67725128,41.7781084
"51","Bolivia","Latin America and Caribbean",51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,-65.19265691,-16.74518128
"52","Moldova","Central and Eastern Europe",52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,28.54018109,47.10710437
"53","Paraguay","Latin America and Caribbean",53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,-58.29551057,-23.38564782
"54","Kazakhstan","Central and Eastern Europe",54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,68.81334444,45.38592596
"55","Slovenia","Central and Eastern Europe",55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,14.995463,46.14315048
"56","Lithuania","Central and Eastern Europe",56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,23.80987587,55.25095948
"57","Nicaragua","Latin America and Caribbean",57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,-84.82270352,12.91806226
"58","Peru","Latin America and Caribbean",58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,-76.15772412,-8.50205247
"59","Belarus","Central and Eastern Europe",59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,27.953389,53.58628747
"60","Poland","Central and Eastern Europe",60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,19.33190957,52.10117636
"61","Malaysia","Southeastern Asia",61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,106.5460905,4.97345793
"62","Croatia","Central and Eastern Europe",62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,16.29039507,44.81372482
"63","Libya","Middle East and Northern Africa",63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,18.19513987,27.06902914
"64","Russia","Central and Eastern Europe",64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,102.4183714,57.96812298
"65","Jamaica","Latin America and Caribbean",65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,-77.297506,18.10838487
"66","North Cyprus","Western Europe",66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,NA,NA
"67","Cyprus","Western Europe",67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,33.429861,35.12450768
"68","Algeria","Middle East and Northern Africa",68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,3.19771194,27.8986169
"69","Kosovo","Central and Eastern Europe",69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,NA,NA
"70","Turkmenistan","Central and Eastern Europe",70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,59.06190323,38.94915421
"71","Mauritius","Sub-Saharan Africa",71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,57.56588291,-20.28368188
"72","Hong Kong","Eastern Asia",72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,114.1465779,22.33728531
"73","Estonia","Central and Eastern Europe",73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,25.38165099,58.74041141
