"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"1","Denmark","Western Europe",1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,9.41938953,54.71794021
"2","Switzerland","Western Europe",2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,8.227512,46.81010721
"3","Iceland","Western Europe",3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,-18.57038755,64.99294495
"4","Norway","Western Europe",4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,13.50069228,65.04680297
"5","Finland","Western Europe",5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,26.36339137,64.69610892
"6","Canada","North America",6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,-106.6983315,60.36196817
"7","Netherlands","Western Europe",7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,4.98914998,52.33939951
"8","New Zealand","Australia and New Zealand",8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,171.7658618,-40.95025298
"9","Australia","Australia and New Zealand",9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,133.5554094,-26.29594646
"10","Sweden","Western Europe",10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,16.73188991,61.42370427
"11","Israel","Middle East and Northern Africa",11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,34.91753797,30.85883075
"12","Austria","Western Europe",12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,13.18776731,47.63125476
"13","United States","North America",13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,-102.3925645,37.66895362
"14","Costa Rica","Latin America and Caribbean",14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,-84.09949534,9.98427463
"15","Puerto Rico","Latin America and Caribbean",15,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,-66.590151,18.21963053
"16","Germany","Western Europe",16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,10.97887975,50.82871201
"17","Brazil","Latin America and Caribbean",17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,-53.331526,-11.80965046
"18","Belgium","Western Europe",18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,4.469936,50.49593874
"19","Ireland","Western Europe",19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,-8.21092302,53.10101628
"20","Luxembourg","Western Europe",20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,6.129587,49.81327712
"21","Mexico","Latin America and Caribbean",21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,-102.3330534,22.92036676
"22","Singapore","Southeastern Asia",22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,103.8332356,1.33873261
"23","United Kingdom","Western Europe",23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,-2.72184767,53.36540813
"24","Chile","Latin America and Caribbean",24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,-71.40014474,-38.0176079
"25","Panama","Latin America and Caribbean",25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,-80.04603702,8.52135102
