Country ,long,lat
Pitcairn Islands,-128.3242373,-24.37673925
Poland,19.33190957,52.10117636
Portugal,-8.03768042,39.44879136
Puerto Rico,-66.590151,18.21963053
Qatar,51.2443148,25.24551555
Réunion,55.536382,-21.11480084
Romania,25.21945155,45.56450023
Russia,102.4183714,57.96812298
Rwanda,29.94255855,-1.98589079
Saint Barthélemy,-62.83376215,17.90042417
"Saint Helena, Ascension and Tristan da Cunha",-12.2776858,-37.10521846
Saint Kitts and Nevis,-62.76411725,17.33453669
Saint Lucia,-60.978895,13.90938495
Saint Martin,-63.05019106,18.07637107
Saint Pierre and Miquelon,-56.315902,46.88469499
Saint Vincent and the Grenadines,-61.197098,13.25276143
Samoa,-172.4520736,-13.57998954
San Marino,12.457777,43.94223356
Sao Tome and Principe,6.59935809,0.2338191
Saudi Arabia,42.88190638,24.16687314
Senegal,-14.68306489,14.43579003
Serbia,20.29725084,44.06736041
Seychelles,55.49061371,-4.68053204
Sierra Leone,-11.93368759,8.45575589
Singapore,103.8332356,1.33873261
Sint Maarten,-63.0561632,18.04433885
Slovakia,19.75396564,48.66923253
Slovenia,14.995463,46.14315048
Solomon Islands,160.156194,-9.6455428
Somalia,45.27676444,2.87224619
South Africa,24.50856092,-27.17706863
South Georgia and the South Sandwich Islands,-36.67305304,-54.38130284
South Korea,127.5142465,36.56344139
South Sudan,30.15342434,7.91320803
Spain,-3.67089492,39.87299401
Sri Lanka,80.83772497,7.61264985
Sudan,30.37145459,15.96646839
Suriname,-55.93988238,4.26470865
Svalbard and Jan Mayen,18.99010622,77.92215764
Swaziland,31.47960891,-26.5389257
Sweden,16.73188991,61.42370427
Switzerland,8.227512,46.81010721
Syria,38.66723516,34.7109743
Taiwan,121.1088404,23.71891402
Tajikistan,71.23215769,38.68075124
Tanzania,34.85587302,-6.37551085
Thailand,101.3880588,14.6000981
The Gambia,-15.35956748,13.15921146
Timor-Leste,125.996714,-8.88926365
Togo,0.86049757,8.68089206
Tokelau,-171.8398169,-9.16682644
Tonga,-175.198242,-21.17890075
